subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Holding AG,11217,"Rahmenvereinbarung für Instandhaltung, Störungsbehebung und gesetzliche Überprüfung von Tankanlagen",,50000000 Reparatur- und Wartungsdienste,,,03.08.2024
ÖBB-Holding AG,11217,Abschlussprüfung im ÖBB-Konzern 2020ff.,Ernst & Young Wirtschaftsprüfungs-,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,5,"81.611,93",30.07.2024
ÖBB-Holding AG,11217,Binder Grösswang -  Rechtsanwaltsleistung,Binder Grösswang Rechtsanwälte GmbH Kanzlei Wien,79111000 Rechtsberatung,1,"65.000,00",30.07.2024
ÖBB-Holding AG,11217,Personalberatung Top-Management,Mercuri Urval Gesellschaft m.b.H.,79600000 Personaleinstellung,0,"56.500,00",25.07.2024
ÖBB-Holding AG,11217,Innovationsberatung 2,TheVentury GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"94.650,00",25.07.2024
ÖBB-Holding AG,11217,Innovationsberatung 2 Innovationen Los 4,vlabs innovation gmbh,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"69.708,00",25.07.2024
ÖBB-Holding AG,11217,Innovationsberatung 2,Think Visual e.U.,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"67.666,80",25.07.2024
ÖBB-Holding AG,11217,Innovationsberatung 2,TheVentury GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"55.140,00",25.07.2024
ÖBB-Holding AG,11217,Moderation von Executive Veranstaltungen und Vermittlung der Unternehmensausrichtung,ICG INTEGRATED CONSULTING GROUP GMBH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"61.600,00",25.07.2024
ÖBB-Holding AG,11217,Kreativagentur,papabogner GmbH,79340000 Werbe- und Marketingdienstleistungen,0,"90.000,00",25.07.2024
ÖBB-Holding AG,11217,Reinigungsleistungen im ÖBB-Konzern (Unterhaltsreinigung österreichweit),ISS Facility Services GmbH,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",0,"192.327,50",25.07.2024
ÖBB-Holding AG,11217,Unterstützungsleistungen Verrechnungspreisdokumentation_2.0,KPMG Alpen-Treuhand GmbH,79412000 Beratung im Bereich Finanzverwaltung,0,"71.904,00",25.07.2024
ÖBB-Holding AG,11217,"Abruf aus Rahmenvereinbarung ""strategisch Beratungsleistungen""",THE BOSTON CONSULTING GROUP (Austria) GMBH,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,7,"240.000,00",25.07.2024
ÖBB-Holding AG,11217,Beratungsleistungen Unternehmensbewertung,Deloitte Financial Advisory GmbH,79412000 Beratung im Bereich Finanzverwaltung,5,"89.361,20",24.07.2024
ÖBB-Holding AG,11217,Beratungsleistungen strategische IT,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5,"99.600,00",09.07.2024
ÖBB-Holding AG,11217,Transaktionsunterstützung Syndicated Loan der PV AG - Transaktionsunterstützung Syndicated Loan der PV AG,"Schwabe, Ley & Greiner Gesellschaft m.b.H. Projektverwalung",66171000 Finanzberatung,1,"64.400,00",17.06.2024
ÖBB-Holding AG,11217,Transport und Restaurierung von denkmalgeschützten Lokomotiven,,60000000 Transport- und Beförderungsdienstleistungen (außer Abfalltransport),,,12.06.2024
ÖBB-Holding AG,11217,Treibhausgas-Bilanzierung und Begleitung ÖBB-Nachhaltigkeitsperformance,Umweltbundesamt GmbH Umweltdienstleistungen,"90000000 Abwasser- und Abfallbeseitigungs-, Reinigungs- und Umweltschutzdienste",1,"90.000,00",06.06.2024
ÖBB-Holding AG,11217,S&P Capital IQ - Lizenzverlängerung 2024-2027,S&P Capital IQ LLC S&P Global (Germany) GmbH,48000000 Softwarepaket und Informationssysteme,1,"97.888,03",15.05.2024
ÖBB-Holding AG,11217,Beratung im Bereich Community Management Basisangebot,Punkt vor Strich GmbH,79410000 Unternehmens- und Managementberatung,0,"85.000,00",02.04.2024
ÖBB-Holding AG,11217,Bestellung 4300938658,Allen & Overy LLP,79110000 Juristische Beratung und Vertretung,1,"50.000,00",18.03.2024
ÖBB-Holding AG,11217,Beratung im Aufbau neuer Geschäftsmodelle,Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0,"1,00",04.03.2024
ÖBB-Holding AG,11217,Reinigungsleistungen im ÖBB-Konzern (Unterhaltsreinigung österreichweit),Rahmenvereinbarung mit mehreren Unternehmen,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",0,"1,00",04.03.2024
ÖBB-Holding AG,11217,Elektromaterial => Lieferung des Sortiments für Elektromaterial,,"31700000 Elektronischer, elektromechanischer und elektrotechnischer Bedarf",,,23.02.2024
ÖBB-Holding AG,11217,steuerliche Sonderberatungsleistungen,Deloitte Tax Wirtschaftsprüfungs GmbH Deloitte Tax (Steuerberatung),66171000 Finanzberatung,1,"88.000,00",06.02.2024
