subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Immobilienmanagement,11090,Fahrradparksysteme,connexurban GmbH Verkauf,34926000 Ausrüstung für Parkplätze,2,"1.352.705,83",21.11.2023
ÖBB-Immobilienmanagement,11090,Fahrradparksysteme,mmcité at mmcité at GmbH,34926000 Ausrüstung für Parkplätze,2,"294.100,00",21.11.2023
ÖBB-Immobilienmanagement,11090,Indexierung Immo Assistent,XXX,72200000 Softwareprogrammierung und -beratung,1,"1,00",20.11.2023
ÖBB-Immobilienmanagement,11090,"km61,200 Bahnhof St.Johann im Pongau  - Bahnsteigkanten- und Rigolsanierung","Held & Francke Baugesellschaft m.b.H. Bereich West: OÖ, Sbg, Stmk","45221250 Tiefbauarbeiten, außer Tunneln, Schächten und Unterführungen",4,"77.553,42",12.09.2023
ÖBB-Immobilienmanagement,11090,Spratzern; Herstellung Ladeplatz - Herstellung eines asphaltierten Ladeplatzes inklusive Beleuchtung,"Held & Francke Baugesellschaft m.b.H. Bereich Ost: Wien, NÖ, Bgl.",45234116 Gleisbauarbeiten,5,"451.024,80",18.08.2023
ÖBB-Immobilienmanagement,11090,Instandhaltung von Aufzugsanlagen,Otis Gesellschaft m.b.H.,50750000 Wartung von Aufzugsanlagen,0,"77.458,56",26.07.2023
ÖBB-Immobilienmanagement,11090,Instandhaltung von Aufzugsanlagen,Otis Gesellschaft m.b.H.,50750000 Wartung von Aufzugsanlagen,0,"320.089,10",26.07.2023
ÖBB-Immobilienmanagement,11090,Instandhaltung von Aufzugsanlagen,Otis Gesellschaft m.b.H.,50750000 Wartung von Aufzugsanlagen,0,"320.089,18",26.07.2023
ÖBB-Immobilienmanagement,11090,Machbarkeitsstudie PV-Bahnsteighalle Wien Westbahnhof,RWT plus ZT GmbH Tragwerksplanung,71240000 Dienstleistungen von Architektur- und Ingenieurbüros sowie planungsbezogene Leistungen,1,"89.219,63",20.07.2023
ÖBB-Immobilienmanagement,11090,Bürogebäude PR - Wörgl; Heizungssanierung - HKLS,Opbacher Installationen GmbH  Filiale Fügen,45330000 Installateurarbeiten,3,"703.595,24",16.06.2023
ÖBB-Immobilienmanagement,11090,Lieferung und Montage von 23 Fahrtreppen - Abruf aus der Rahmenvereinbarung,Schindler Aufzüge u. Fahrtreppen Gm,"42416000 Aufzüge, Schrägaufzüge, Hebezeuge, Rolltreppen und Rollsteige",0,"450.162,97",12.06.2023
ÖBB-Immobilienmanagement,11090,"Baufeldfreimachung ""Freie Mitte"" - chemische Wasseruntersuchungen",ESW Consulting Wruss Ziviltechniker GmbH ESW Consulting Wruss ZT GmbH,71240000 Dienstleistungen von Architektur- und Ingenieurbüros sowie planungsbezogene Leistungen,1,"120.183,00",22.05.2023
ÖBB-Immobilienmanagement,11090,Instandhaltung und Überprüfung von Gasanlagen und gasbefreuerten Heizungsanlagen,Dipl.Ing.Alfred Offner Ges.m.b.H. Zentrale,50531200 Wartung von Gasverbrauchseinrichtungen,2,"533.558,20",09.05.2023
ÖBB-Immobilienmanagement,11090,Grafikleistungen für die Info- und Wegeleitung,Rahmenvereinbarung mit mehreren Unternehmern,79822500 Dienstleistungen im Grafik-Design,3,"1,00",09.05.2023
ÖBB-Immobilienmanagement,11090,Erbringung von HKLS Leistungen am Bildungscampus St. Pölten - HKLS Leistungen,Apleona Austria GmbH LCS,50700000 Reparatur und Wartung von Einrichtungen in Gebäuden,4,"1,00",27.04.2023
ÖBB-Immobilienmanagement,11090,Lieferung von Sanitäranlagen und -Ersatzteilen,Frauenthal Handel AG Zentrale Haustechnik ÖAG,44411000 Sanitärerzeugnisse,1,"355.742,73",14.04.2023
ÖBB-Immobilienmanagement,11090,Errichtung Heizungsanlage - Heizungs- und Sanitärinstallationen,Hechenleitner & Cie GmbH Zentrale,"42512300 Heizungs-, Lüftungs- und Klimaanlagen",3,"864.308,27",12.04.2023
ÖBB-Immobilienmanagement,11090,Systemanpassung MSR/Gebäudeleittechnik,Siemens AG Österreich RC-AT BT LNZ BR S,71356000 Dienstleistungen im technischen Bereich,1,"73.924,63",03.04.2023
ÖBB-Immobilienmanagement,11090,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"1,00",03.03.2023
ÖBB-Immobilienmanagement,11090,RV_HKLS-Steiermark_LOS 2 - RV_HKLS-Steiermark_LOS 2,Michelic Installations GmbH Michelic Installations GmbH,"50500000 Reparatur und Wartung von Pumpen, Ventilen, Hähnen, Metallbehältern und Maschinen",2,"64.039,68",02.03.2023
ÖBB-Immobilienmanagement,11090,Bestückung von Gegenständen mit RFID/NFC-Tags inkl. Datenmanagement,"TAGnology RFID GmbH RFID-, NFC- und Auto-ID Industrie 4.0","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"296.170,00",16.02.2023
ÖBB-Immobilienmanagement,11090,"Klimaanlagen - Lieferung, Montage, Wartung und Störungsbehebung von Klimaanlagen",Kältepol Kühlanlagen G.m.b.H. Kälte- & Klimatechnik,39717200 Klimageräte,4,"1,00",09.02.2023
ÖBB-Immobilienmanagement,11090,"Klimaanlagen - Lieferung, Montage, Wartung und Störungsbehebung von Klimaanlagen",EQUANS Kältetechnik GmbH Filiale Wels,39717200 Klimageräte,4,"1,00",09.02.2023
