subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Werbung,11224,Velvet - Velvet Catering,Velvet Catering GmbH Catering Unternehmen,55300000 Restaurant- und Bewirtungsdienste,1,"80.051,00",07.06.2022
ÖBB-Werbung,11224,Online Werbung Bannerproduktion - Online Werbung Bannerproduktion,,79340000 Werbe- und Marketingdienstleistungen,,,19.05.2022
ÖBB-Werbung,11224,"Montage, Austausch und Instandhaltung von Werbeanlagen","Werbemontagen GmbH  Werbegestaltung,Agentur","79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",5,"64.715,00",18.05.2022
ÖBB-Werbung,11224,Rahmenvertrag Kund:innenmagazin Print und Digital,Content Creation GmbH Contentagentur Linz,79970000 Verlagsdienste,7,"1.557.200,00",26.04.2022
ÖBB-Werbung,11224,Rahmenvertrag Layout Corporate Design,Klausner Andrea Klausner Andrea,79822500 Dienstleistungen im Grafik-Design,2,"921.600,00",11.04.2022
ÖBB-Werbung,11224,Rahmenvereinbarung TV-Produktionen,Rahmenvereinbarung mit mehreren Unternehmern,92110000 Film- und Videofilmherstellung und verbundene Dienstleistungen,3,"1,00",18.03.2022
ÖBB-Werbung,11224,Rahmenvertrag Pixel/Cookie-Tool,,72313000 Datenerfassung,,,02.03.2022
ÖBB-Werbung,11224,Rahmenvereinbarung Veranstaltungstechnik,,79952000 Event-Organisation,,,04.02.2022
ÖBB-Werbung,11224,Rahmenvereinbarung Messebau,,79956000 Organisation von Messen und Ausstellungen,,,31.01.2022
ÖBB-Werbung,11224,Rahmenvereinbarung Animationsvideos,Rahmenvereinbarung mit mehreren Unternehmern,"92111200 Herstellung von Werbe-, Reklame- und Informationsfilmen und -videofilmen",4,"1,00",25.01.2022
ÖBB-Werbung,11224,Rahmenvertrag Kund:innenmagazin Print und Digital,,79970000 Verlagsdienste,,,09.12.2021
ÖBB-Werbung,11224,Rahmenvertrag Mediaplanung,MediaCom - die Kommunikationsagentur GmbH Österreich,79340000 Werbe- und Marketingdienstleistungen,2,"1,00",19.11.2021
ÖBB-Werbung,11224,Rahmenvereinbarung TV-Produktionen,,92110000 Film- und Videofilmherstellung und verbundene Dienstleistungen,,,12.11.2021
ÖBB-Werbung,11224,Rahmenvertrag Mediaplanung,,79340000 Werbe- und Marketingdienstleistungen,,,04.06.2021
