subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Rohre aus Aluminium-Knetlegierungen für ÖBB Oberleitungsanlagen,,44164300 Rohrmaterial,,,06.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Kopierpapier,,30197630 Druckpapier,,,06.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Instandhaltung - Dachdecker - Dachwartung,Fleischmann & Petschnig Zentrale Klagenfurt,45261900 Dachreparatur und Dachwartung,8,"715.822,11",06.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Instandhaltung - Dachdecker - Dachwartung,RATKA DACHBAU GMBH Zentrale,45261900 Dachreparatur und Dachwartung,8,"525.332,35",06.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Instandhaltung - Dachdecker - Dachwartung,Beisl Spenglerei und Bedachung GmbH Beisl GmbH.,45261900 Dachreparatur und Dachwartung,8,"1.238.885,98",06.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Instandhaltung - Dachdecker - Dachwartung,Giner GmbH Zentrale,45261900 Dachreparatur und Dachwartung,8,"320.745,00",06.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Instandhaltung - Dachdecker - Dachwartung,Ing. Gregorites Dachdeckungs GmbH Dachdeckerei-Spenglerei,45261900 Dachreparatur und Dachwartung,8,"448.775,00",06.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Instandhaltung - Dachdecker - Dachwartung,Fuchs Wolfgang GmbH Zentrale,45261900 Dachreparatur und Dachwartung,8,"539.387,92",06.05.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Sicherheitsdienstleistungen,,79710000 Dienstleistungen von Sicherheitsdiensten,,,30.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Aspen,MOTOREX GmbH Zentrale,09132000 Benzin,1,"82.769,90",28.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Pilotprojekt Reinigung und Aufbereitung Dienstkleidung - Pilotprojekt Reinigung und Aufbereitung Dienstkleidung,Rudolf Stuhl GesmbH. & Co. KG Rudolf Stuhl GesmbH. & Co. KG,98310000 Dienstleistungen von Wäschereien und chemischen Reinigungen,1,"85.317,00",27.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"Instandhaltung, Instandsetzung, Störungsbehebung von Fäkalabsaug-/Entkalkungsanlagen,Schlauchhaspeln",,"50510000 Reparatur und Wartung von Pumpen, Ventilen, Hähnen und Metallbehältern",,,22.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Maler- u. Anstreicherwerkzeug,Friedrich Eberlein GmbH Vertrieb,39224210 Malerpinsel,3,"79.028,63",17.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Gehörschutz angepasst,Audio lab Austria GmbH Gehörschutz Vertrieb Innendienst,18143000 Schutzkleidung,1,"548.470,56",16.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung Montage und Wartung sowie Instandhaltung von Bedientischen,TRIAFLEX Innovative Sitz- und Gesundheitssysteme GmbH Triaflex Innovative Sitz- und Gesundheitssysteme GmbH,39181000 Labortische,2,"7.501.075,50",15.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Elektroanlagen => Errichtung und Servicierung von elektrischen Anlagen und Telekommunikationsanlagen,,45311000 Installation von Elektroanlagen,,,11.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,IT-Dienstleistungen - Analyse & Delivery,SOFTCOM Consulting GmbH; T-Systems Austria GesmbH; Capgemini Consulting Österreich AG.,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",13,"193.065.952,00",08.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von  Baubeschlägen und  Zylinderschlösser,,"44500000 Werkzeug, Schlösser, Schlüssel, Scharniere, Verbindungselemente, Ketten und Federn",,,04.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Abruf-Rahmenvertrag zu ProVia ID 35020,Accenture GmbH,72200000 Softwareprogrammierung und -beratung,1,"2.200.000,00",02.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Elektrowerkzeug,Spiral Reihs & Co. KG Zentrale,43830000 Elektrowerkzeuge,3,"2.139.334,65",01.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Dieselkraftstoff EN 590 und HVO100 EN 15940 im Straßentankwagen,Roth Energie GmbH Brand Nordsteirische,09134220 Dieselkraftstoff (EN 590),8,"577.772,75",01.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Dieselkraftstoff EN 590 und HVO100 EN 15940 im Straßentankwagen,"Paul RUDOLF GmbH Transportunternehmen, Mineralölhandel, Pellets, Sand, Kies, Schotter",09134220 Dieselkraftstoff (EN 590),8,"5.937.979,26",01.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Dieselkraftstoff EN 590 und HVO100 EN 15940 im Straßentankwagen,F. Leitner Mineralöle GmbH Zentrale,09134220 Dieselkraftstoff (EN 590),8,"8.133.135,67",01.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Dieselkraftstoff EN 590 und HVO100 EN 15940 im Straßentankwagen,OMV Downstream GmbH Verkauf Treibstoffe,09134220 Dieselkraftstoff (EN 590),8,"5.203.184,19",01.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Dieselkraftstoff EN 590 und HVO100 EN 15940 im Straßentankwagen,MOL Austria Handels GmbH Verkauf,09134220 Dieselkraftstoff (EN 590),8,"1,01",01.04.2025
